ticker,cik,filing_date,open,close,adj_close,yest_open,yest_close,yest_adj_close,curr_mkt_cap
REPO,1430683,4/16/10,NA,NA,NA,NA,NA,NA,694K
REPO,1430683,4/1/11,NA,NA,NA,NA,NA,NA,694K
RES,742278,3/21/03,12.31,10.7,1.16,12.3,12.3,1.33,2.700B
RES,742278,3/9/04,12,12.15,1.33,12.04,12.04,1.31,2.700B
RES,742278,3/16/05,14.93,15.12,2.5,15.08,15.08,2.49,2.700B
RES,742278,3/13/06,NA,NA,NA,NA,NA,NA,2.700B
RES,742278,3/2/07,14.95,14.64,5.53,15.03,15.03,5.68,2.700B
RES,742278,3/4/08,13.33,13.12,5.04,13.33,13.33,5.12,2.700B
RES,742278,3/5/09,5.64,5.39,2.12,5.77,5.77,2.27,2.700B
RES,742278,3/3/10,12.95,13.06,5.24,12.96,12.96,5.2,2.700B
RES,742278,3/4/11,20.49,20.57,12.53,20.41,20.41,12.44,2.700B
RES,742278,2/29/12,16.18,16.01,9.95,15.99,15.99,9.94,2.700B
RES,742278,3/1/13,16.04,16.36,15.67,16.18,16.18,15.5,2.700B
RES,742278,2/28/14,18.4,18.41,18.11,18.35,18.35,18.05,2.700B
RESI,1555039,2/7/13,18.62,18.57,17.32,18.62,18.62,17.37,1.181B
RESI,1555039,2/20/14,31,28.34,26.79,29.74,29.74,28.12,1.181B
RESX,1053691,4/15/09,1.48,1.54,154,1.48,1.48,148,69.8M
RESX,1053691,4/15/10,1.8,1.8,180,1.75,1.75,175,69.8M
RESX,1053691,4/26/11,0.9,0.9,90,0.9,0.9,90,69.8M
RESX,1053691,5/21/12,NA,NA,NA,NA,NA,NA,69.8M
RESX,1053691,4/16/13,0.16,0.16,16,0.16,0.16,16,69.8M
RESX,1053691,4/15/14,4.75,5.1,5.1,5,5,5,69.8M
REX,744187,4/17/96,14.13,14.13,6.28,14,14,6.22,507.0M
REX,744187,4/19/02,14.95,15.19,15.19,14.85,14.85,14.85,507.0M
REX,744187,4/25/03,10.92,10.83,10.83,11.02,11.02,11.02,507.0M
REX,744187,4/15/04,14.1,14.25,14.25,14.1,14.1,14.1,507.0M
